url	ns	type	id	code	name	description	subclusters	naics_codes	soc_count	cip_count
https://education.org.ai/Career/AdvancedManufacturing	education.org.ai	Career	AdvancedManufacturing	advanced-manufacturing	Advanced Manufacturing	Advanced Manufacturing career cluster with 5 sub-clusters	5	31-33	137	214
https://education.org.ai/Career/Agriculture	education.org.ai	Career	Agriculture	agriculture	Agriculture	Agriculture career cluster with 6 sub-clusters	6	11	46	173
https://education.org.ai/Career/ArtsEntertainmentAnddesign	education.org.ai	Career	ArtsEntertainmentAnddesign	arts-entertainment-design	Arts, Entertainment, & Design	Arts, Entertainment, & Design career cluster with 6 sub-clusters	6	71	64	149
https://education.org.ai/Career/Construction	education.org.ai	Career	Construction	construction	Construction	Construction career cluster with 4 sub-clusters	4	23	93	101
https://education.org.ai/Career/DigitalTechnology	education.org.ai	Career	DigitalTechnology	digital-technology	Digital Technology	Digital Technology career cluster with 5 sub-clusters	5	51, 54	20	89
https://education.org.ai/Career/Education	education.org.ai	Career	Education	education	Education	Education career cluster with 4 sub-clusters	4	61, 92	83	1332
https://education.org.ai/Career/Energyandnaturalresources	education.org.ai	Career	Energyandnaturalresources	energy-natural-resources	Energy & Natural Resources	Energy & Natural Resources career cluster with 6 sub-clusters	6	21, 22	87	247
https://education.org.ai/Career/FinancialServices	education.org.ai	Career	FinancialServices	financial-services	Financial Services	Financial Services career cluster with 5 sub-clusters	5	52, 53	40	66
https://education.org.ai/Career/Healthcareandhumanservices	education.org.ai	Career	Healthcareandhumanservices	healthcare-human-services	Healthcare & Human Services	Healthcare & Human Services career cluster with 6 sub-clusters	6	62, 81	146	766
https://education.org.ai/Career/HospitalityEventsAndtourism	education.org.ai	Career	HospitalityEventsAndtourism	hospitality-events-tourism	Hospitality, Events, & Tourism	Hospitality, Events, & Tourism career cluster with 4 sub-clusters	4	72, 44-45	51	60
https://education.org.ai/Career/Managementandentrepreneurship	education.org.ai	Career	Managementandentrepreneurship	management-entrepreneurship	Management & Entrepreneurship	Management & Entrepreneurship career cluster with 5 sub-clusters	5	55	49	249
https://education.org.ai/Career/Marketingandsales	education.org.ai	Career	Marketingandsales	marketing-sales	Marketing & Sales	Marketing & Sales career cluster with 4 sub-clusters	4	54	27	54
https://education.org.ai/Career/Publicserviceandsafety	education.org.ai	Career	Publicserviceandsafety	public-service-safety	Public Service & Safety	Public Service & Safety career cluster with 5 sub-clusters	5	56, 92	108	249
https://education.org.ai/Career/Supplychainandtransportation	education.org.ai	Career	Supplychainandtransportation	supply-chain-transportation	Supply Chain & Transportation	Supply Chain & Transportation career cluster with 6 sub-clusters	6	42, 48-49	84	70
