id	type	description	baseNoun	modifiers	category	source	keyFunctions	typicalOccupations	commonProcesses	reportsTo
FinanceDepartment	Department	Manages financial operations, reporting, and planning	Department	finance	Departments	GraphDL	financial-reporting,budgeting,accounting,tax-compliance,treasury	Chief Financial Officer,Financial Analyst,Accountant,Controller,Treasurer	financial-close,budget-planning,accounts-payable,accounts-receivable,financial-analysis	CEO,CFO
HumanResourcesDepartment	Department	Manages employee recruitment, development, and relations	Department	human resources	Departments	GraphDL	recruitment,onboarding,training,compensation,benefits,employee-relations	HR Manager,Recruiter,HR Business Partner,Training Specialist,Compensation Analyst	hiring,performance-review,benefits-administration,employee-onboarding,payroll	CEO,CHRO
InformationTechnologyDepartment	Department	Manages technology infrastructure and systems	Department	information technology	Departments	GraphDL	infrastructure-management,application-development,security,support,data-management	CTO,Software Engineer,System Administrator,IT Support Specialist,Security Engineer	software-development,system-maintenance,incident-response,user-support,security-monitoring	CEO,CTO
SalesDepartment	Department	Generates revenue through customer acquisition and account management	Department	sales	Departments	GraphDL	lead-generation,prospecting,closing,account-management,forecasting	VP Sales,Account Executive,Sales Development Rep,Account Manager,Sales Operations	lead-qualification,sales-calls,proposal-creation,contract-negotiation,pipeline-management	CEO,Chief Revenue Officer
MarketingDepartment	Department	Promotes products/services and builds brand awareness	Department	marketing	Departments	GraphDL	brand-management,content-creation,demand-generation,market-research,communications	CMO,Marketing Manager,Content Writer,Digital Marketer,Brand Manager	campaign-management,content-creation,market-analysis,lead-generation,brand-development	CEO,CMO
OperationsDepartment	Department	Manages day-to-day business activities and processes	Department	operations	Departments	GraphDL	process-management,quality-control,supply-chain,facilities,vendor-management	COO,Operations Manager,Process Analyst,Quality Manager,Supply Chain Manager	production-planning,inventory-management,quality-assurance,vendor-coordination,process-optimization	CEO,COO
ProductDepartment	Department	Develops and manages product strategy and roadmap	Department	product	Departments	GraphDL	product-strategy,roadmap-planning,feature-prioritization,market-analysis,product-launch	CPO,Product Manager,Product Designer,Product Analyst,Technical Product Manager	product-planning,user-research,feature-development,product-launch,metrics-analysis	CEO,CPO
EngineeringDepartment	Department	Builds and maintains technical products and systems	Department	engineering	Departments	GraphDL	software-development,architecture,infrastructure,testing,release-management	VP Engineering,Software Engineer,DevOps Engineer,QA Engineer,Engineering Manager	code-development,code-review,deployment,testing,architecture-design	CTO,VP Engineering
CustomerSuccessDepartment	Department	Ensures customer satisfaction and retention	Department	customer success	Departments	GraphDL	onboarding,training,support,retention,expansion,advocacy	VP Customer Success,Customer Success Manager,Onboarding Specialist,Support Engineer	customer-onboarding,success-planning,health-monitoring,renewal-management,expansion-planning	CEO,Chief Customer Officer
LegalDepartment	Department	Manages legal compliance and risk	Department	legal	Departments	GraphDL	contract-review,compliance,litigation,intellectual-property,corporate-governance	General Counsel,Corporate Attorney,Compliance Officer,Paralegal,IP Attorney	contract-negotiation,legal-review,compliance-monitoring,risk-assessment,ip-protection	CEO,General Counsel
ResearchDevelopmentDepartment	Department	Conducts research and develops new products/technologies	Department	research and development	Departments	GraphDL	research,experimentation,prototyping,innovation,testing	VP R&D,Research Scientist,R&D Engineer,Innovation Manager,Lab Technician	research-planning,experimentation,prototype-development,testing,patent-filing	CEO,Chief Innovation Officer
BusinessDevelopmentDepartment	Department	Identifies and pursues growth opportunities	Department	business development	Departments	GraphDL	partnership-development,market-expansion,strategic-planning,deal-negotiation	VP Business Development,BD Manager,Partnership Manager,Strategic Analyst	partnership-identification,deal-sourcing,negotiation,integration-planning,market-analysis	CEO,Chief Strategy Officer
CustomerServiceDepartment	Department	Provides support and assistance to customers	Department	customer service	Departments	GraphDL	issue-resolution,support,ticketing,escalation-management	Customer Service Manager,Support Representative,Technical Support,Call Center Agent	ticket-management,issue-resolution,customer-communication,escalation-handling,support-documentation	COO,VP Customer Experience
DataAnalyticsDepartment	Department	Analyzes data to drive business insights and decisions	Department	data analytics	Departments	GraphDL	data-analysis,reporting,business-intelligence,predictive-modeling	Chief Data Officer,Data Analyst,Data Scientist,BI Developer,Analytics Manager	data-collection,analysis,reporting,modeling,dashboard-creation	CEO,CDO,CTO
ComplianceDepartment	Department	Ensures adherence to laws, regulations, and policies	Department	compliance	Departments	GraphDL	regulatory-compliance,policy-management,audit,risk-assessment	Chief Compliance Officer,Compliance Manager,Compliance Analyst,Risk Manager	compliance-monitoring,policy-development,audit-coordination,training,reporting	CEO,General Counsel
