ns	type	id	name	description	code	domainIncludes	rangeIncludes	sourceUrl
schema.org.ai	Property	option	option	A sub property of object. The options subject to this action.	option	ChooseAction	Text,Thing	option
schema.org.ai	Property	minimumPaymentDue	minimumPaymentDue	The minimum payment required at this time.	minimumPaymentDue	Invoice	PriceSpecification,MonetaryAmount	minimumPaymentDue
schema.org.ai	Property	includedDataCatalog	includedDataCatalog	A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog').	includedDataCatalog	Dataset	DataCatalog	includedDataCatalog
schema.org.ai	Property	discount	discount	Any discount applied (to an Order).	discount	Order	Text,Number	discount
schema.org.ai	Property	printPage	printPage	If this NewsArticle appears in print, this field indicates the name of the page on which the article is found. Please note that this field is intended for the exact page name (e.g. A5, B18).	printPage	NewsArticle	Text	printPage
schema.org.ai	Property	muscleAction	muscleAction	The movement the muscle generates.	muscleAction	Muscle	Text	muscleAction
schema.org.ai	Property	illustrator	illustrator	The illustrator of the book.	illustrator	Book	Person	illustrator
schema.org.ai	Property	contentType	contentType	The supported content type(s) for an EntryPoint response.	contentType	EntryPoint	Text	contentType
schema.org.ai	Property	servesCuisine	servesCuisine	The cuisine of the restaurant.	servesCuisine	FoodEstablishment	Text	servesCuisine
schema.org.ai	Property	distance	distance	The distance travelled, e.g. exercising or travelling.	distance	ExerciseAction,TravelAction	Distance	distance
schema.org.ai	Property	containedInPlace	containedInPlace	The basic containment relation between a place and one that contains it.	containedInPlace	Place	Place	containedInPlace
schema.org.ai	Property	broker	broker	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	broker	Order,Reservation,Service,Invoice	Person,Organization	broker
schema.org.ai	Property	permittedUsage	permittedUsage	Indications regarding the permitted usage of the accommodation.	permittedUsage	Accommodation	Text	permittedUsage
schema.org.ai	Property	totalHistoricalEnrollment	totalHistoricalEnrollment	The total number of students that have enrolled in the history of the course.	totalHistoricalEnrollment	Course	Integer	totalHistoricalEnrollment
schema.org.ai	Property	issuedBy	issuedBy	The organization issuing the item, for example a [[Permit]], [[Ticket]], or [[Certification]].	issuedBy	Permit,Ticket,Certification	Organization	issuedBy
schema.org.ai	Property	hasMemberProgram	hasMemberProgram	MemberProgram offered by an Organization, for example an eCommerce merchant or an airline.	hasMemberProgram	Organization	MemberProgram	hasMemberProgram
schema.org.ai	Property	hasEnergyEfficiencyCategory	hasEnergyEfficiencyCategory	Defines the energy efficiency Category (which could be either a rating out of range of values or a yes/no certification) for a product according to an international energy efficiency standard.	hasEnergyEfficiencyCategory	EnergyConsumptionDetails	EnergyEfficiencyEnumeration	hasEnergyEfficiencyCategory
schema.org.ai	Property	rangeIncludes	rangeIncludes	Relates a property to a class that constitutes (one of) the expected type(s) for values of the property.	rangeIncludes	Property	Class	rangeIncludes
schema.org.ai	Property	contentLocation	contentLocation	The location depicted or described in the content. For example, the location in a photograph or painting.	contentLocation	CreativeWork	Place	contentLocation
schema.org.ai	Property	weightPercentage	weightPercentage	Fraction of the weight that is used to compute the shipping price.	weightPercentage	ShippingRateSettings	Number	weightPercentage
schema.org.ai	Property	landlord	landlord	A sub property of participant. The owner of the real estate property.	landlord	RentAction	Organization,Person	landlord
schema.org.ai	Property	recordedAt	recordedAt	The Event where the CreativeWork was recorded. The CreativeWork may capture all or part of the event.	recordedAt	CreativeWork	Event	recordedAt
schema.org.ai	Property	frequency	frequency	How often the dose is taken, e.g. 'daily'.	frequency	DoseSchedule	Text	frequency
schema.org.ai	Property	polygon	polygon	A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more space delimited points where the first and final points are identical.	polygon	GeoShape	Text	polygon
schema.org.ai	Property	isTierOf	isTierOf	The member program this tier is a part of.	isTierOf	MemberProgramTier	MemberProgram	isTierOf
schema.org.ai	Property	itemDefectReturnLabelSource	itemDefectReturnLabelSource	The method (from an enumeration) by which the customer obtains a return shipping label for a defect product.	itemDefectReturnLabelSource	MerchantReturnPolicy	ReturnLabelSourceEnumeration	itemDefectReturnLabelSource
